Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeBlocked,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeBlocked,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeBlocked,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailed,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailed,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailed,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailed,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailed,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailed,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailed,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailed,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailed,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailed,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailed,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailed,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailed,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailed,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailed,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailed,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailed,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailed,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailed,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailed,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeFailedProcessing,Percent,0
