playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
100014,null,Colts,DST,IND,DST,IND,null,6.7413,null,null,null,14,null,null,0.0991,null,null,null,7.233,5.9,3.4353,null
100015,null,Jaguars,DST,JAC,DST,JAC,null,7.1,null,null,null,11,null,null,0.1369,null,null,null,5.6757,0,9.6885,null
100016,null,Chiefs,DST,KC,DST,KC,null,12.3,null,null,null,1,null,null,2.0839,null,null,null,10.6349,4,11.0637,null
100017,null,Rams,DST,LA,DST,LA,null,5.9257,null,null,null,23,null,null,0.1295,null,null,null,5.4266,4.2,4.4643,null
100018,null,Raiders,DST,OAK,DST,OAK,null,6.6748,null,null,null,15,null,null,0.1381,null,null,null,6.9779,4.6,3.7476,null
100019,null,Dolphins,DST,MIA,DST,MIA,null,5.4733,null,null,null,28,null,null,0.1775,null,null,null,6.8605,3,5.3035,null
100020,null,Vikings,DST,MIN,DST,MIN,null,10.3325,null,null,null,2,null,null,0.4856,null,null,null,14.0578,6.4,5.1807,null
100021,null,Patriots,DST,NE,DST,NE,null,9.5337,null,null,null,5,null,null,1.2568,null,null,null,12.817,7.6,3.3236,null
100022,null,Saints,DST,NO,DST,NO,null,5.7,null,null,null,26,null,null,0.1284,null,null,null,4.5565,0,8.0842,null
100023,null,Giants,DST,NYG,DST,NYG,null,5.1773,null,null,null,30,null,null,0.4358,null,null,null,6.16,3.2,4.5017,null
100024,null,Jets,DST,NYJ,DST,NYJ,null,6.6096,null,null,null,16,null,null,0.1628,null,null,null,7.675,4.2,5.1189,null
100025,null,Eagles,DST,PHI,DST,PHI,null,7.3473,null,null,null,9,null,null,0.243,null,null,null,8.5081,6.3253,3.6721,null
100026,null,Cardinals,DST,ARI,DST,ARI,null,10.0998,null,null,null,3,null,null,0.5359,null,null,null,11.6255,8.9,2.6892,null
100027,null,Steelers,DST,PIT,DST,PIT,null,7.1086,null,null,null,10,null,null,0.0603,null,null,null,8.165,3.2,5.036,null
100028,null,Chargers,DST,SD,DST,SD,null,5.4144,null,null,null,29,null,null,0.3144,null,null,null,5.6125,4.9,3.4694,null
100029,null,49ers,DST,SF,DST,SF,null,6.43,null,null,null,18,null,null,0.0266,null,null,null,7.8273,3.8,6.9184,null
100030,null,Seahawks,DST,SEA,DST,SEA,null,6.1,null,null,null,22,null,null,0.2302,null,null,null,5.0769,1,7.3967,null
