"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ELEGPUS","198305","174.392","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198306","191.048","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198307","220.165","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198308","229.957","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198309","195.604","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198310","182.931","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198311","182.949","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198312","212.319","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198313","2310.285","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198401","216.632","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198402","189.564","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198403","200.107","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198404","181.084","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198405","192.217","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198406","209.648","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198407","221.245","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198408","229.296","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198409","195.198","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198410","190.936","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198411","190.38","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198412","199.996","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198413","2416.304","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198501","227.856","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198502","198.242","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198503","194.97","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198504","184.877","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198505","196.79","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198506","205.363","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198507","226.722","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198508","226.05","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198509","202.499","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198510","194.789","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198511","192.427","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198512","219.255","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198513","2469.841","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198601","217.47","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198602","192.336","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198603","196.834","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198604","186.074","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198605","197.315","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198606","215.015","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198607","242.672","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198608","225.166","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198609","206.692","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198610","197.754","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198611","196.432","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198612","213.551","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198613","2487.31","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198701","222.749","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198702","194.034","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198703","201.849","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198704","189.496","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198705","206.074","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198706","225.589","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198707","247.915","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198708","247.645","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198709","213.008","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198710","203.009","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198711","200.258","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198712","220.5","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198713","2572.127","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198801","237.897","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198802","216.937","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198803","214.013","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
